timestamp,speaker,words,tags,timelink
[00:00:00],DB:,Let's start this going. This will just catch both of us better.,,0
,AG:,OK.,,
,DB:,"[to Gerstler's dogs] Hi, guys! Hi! Do you want to get interviewed, too?",,
,AG:,I think they do.,,
,DB:,What do you want to be asked about?,,
,AG:,Digital bone recovery? Virtual meat?,,
,DB:,"Did you see all the, like, new fandangled pet things? They can have a plug-in thing where you can teleconference with your pet and give them a treat. It's called, like, iCPooch.",,
,AG:,"I know they have some things for people who are gone a lot where you can-like your baby, or with your dog-you can watch them.",,
,DB:,"Right. And this one, apparently, it's like you put it on the ground level and it has kind of like a dispenser.",,
,AG:,Unbelievable!,,
,DB:,"And so you can, like, say, ""Come here!"" and it gives them a treat.",,
,AG:,A robot gives them a treat!,,
,DB:,"It is something else, for sure. And there's like automatic fetch machines now and all sorts of stuff. I was kind of fascinated.",,
,AG:,Wow!,,
,DB:,"OK, so, this will take an hour, an hour and a half. If you feel-if you need to get a drink of water, you know, or go to the bathroom, it's fine.",,
,AG:,"OK, same for you.",,
,DB:,"Yeah, and I have-It's kind of in three sections.",,
,AG:,OK.,,
,DB:,"The first section is kind of a more quick, short-answer stuff about what you're doing now.",,
,AG:,"Oh, OK.",,
,DB:,"And it's based off the thing that-I don't know-have you met Collier Nogues, who was in my year? She didn't actually-she wasn't in the in the class with us.",,
,AG:,"No, I don't think so.",,
,DB:,"But she has a book from Four Way, and she's-",,
,AG:,Nice.,,
,DB:,"Anyway, we did an article earlier that interviewed kind of emerging poets about how they did this. So, these questions are from that. And then we'll talk more about kind of the span of your career and how the processes have changed, or not changed, with the computer. But it's more-I mean, it's not-you don't need to-like if you feel like you need to talk about it, or if you don't, we'll just talk about how you work and how that goes. And then the third one will be kind of a series of questions more about, I guess, your feelings about the computer, and that will be it.",,
,AG:,Alright!,,
,DB:,"Ok, so this is the section where we talk about how you're working, currently. So, if you wouldn't mind stating your name, your date of birth, and where we are right now?",,
,AG:,"OK. So, my name is Amy Gerstler. I was born on October 24th, 1956, and we're in the area of Los Angeles, California, USA that's called Echo Park, which is close to downtown, close to Dodger's Stadium.",,
,DB:,OK. And also joining us is?,,
,AG:,"Also joining us as guest stars-taking all the glory, as is appropriate-is Ted, the dog, and Gus, the dog.",,
,DB:,"Yeah, OK. So, what genres do you work in?",,
,AG:,"I write poetry. I do different kinds of journalism, more in the past than currently, but still some. I used to do a fair amount of art journalism, like reviews and sometimes catalog pieces, and sometimes essays about visual art. And I did other kinds of general journalism.",,
,DB:,"OK, and what would you say your primary genre is?",,
,AG:,And I've written some Non-fiction and a teeny bit of fiction. Sort of.,,
,DB:,"Alright, so all of them, essentially. Many.",,
,AG:,"And hybrid stuff, too.",,
,DB:,"Yeah, but your primary genre is-?",,
,AG:,Poetry. And a little bit of non-fiction sometimes in journalism.,,
,DB:,"OK. What kinds of devices do you have, or own, have access to for your writing? What computer devices?",,
[00:03:51],AG:,"This laptop is my home computer. And then I have two sort of travel ones. One is a MacBook Air, which is like this but much lighter and thinner. And then one is an iPad mini, which I don't write on that much, but I write on a little, and it's like an iPad but it's a little smaller. It's like kind of purse size.",,231
,DB:,"Yeah. So, you have then-you have three devices on which you kind of write between?",,
,AG:,That's right.,,
,DB:,How do you share the documents? Do you share documents between the three? Or do you just send them to yourself?,,
,AG:,"I like tech and I like computers, but I'm not as savvy as I should be. So, I send things to myself via email. That's usually the main way I do it. Sometimes I can plug them in to each other and have them share.",between,
[00:05:03],DB:,Yeah. And so they're all Macs?,,303
,AG:,Yes.,,
,DB:,"And this is your primary device, though, you would say?",,
,AG:,Yes.,,
,DB:,OK.,,
,AG:,"There's also one at work, but I just use that for work.",,
,DB:,OK. You don't use that to actually write?,,
,AG:,It's for work.,,
,DB:,"Yeah. In addition to your own devices, are you using physical-are you using handwriting, or notebooks, or anything?",,
,AG:,Sure.,,
,DB:,"And so, how-what's sort of the ratio between the two?",,
,AG:,Ratio?,,
,DB:,"I mean, how much are you working on kind of the physical formats, versus digital formats, I guess? And we'll get back to this, so, this isn't-we can talk about it later, too.",,
,AG:,"I think actual writing is almost all on computers now, but note-taking is probably 75% notebook and pen, and 25% take notes on the computer.",paper;between;,
,DB:,"At what point would your notes kind of lead in-like, say, a physical note-lead in to a computer document? Do they usually lead to a poem like that, or is that a different-?",paper;between;,
,AG:,"Yeah, I often-my sort of poetry practice involves weird, different kinds of research.",paper;between;,
,DB:,Yeah.,paper;between;,
,AG:,"And so that's digital because a lot of the research I do now was online, and I often print things out, and then either highlight parts of them and use them or take notes out of books, or take notes off of websites on paper and then input it.",paper;between;,
,DB:,OK.,,
,AG:,Does that answer the question?,,
,DB:,"Yeah, and some of these will be a little repetitive, and I hope that doesn't bother you, but it's just the way-",,
,AG:,"No, not at all! When you're trying to gather data-",,
,DB:,Yeah. But we'll talk more about that.,,
,AG:,"Yeah, yeah. I get that.",,
[00:07:19],DB:,"OK, cool. In what format do you save your files?",,439
,AG:,Word .docx,,
,DB:,OK. And as you're creating drafts of your-,,
,AG:,"Unless someone needs a .pdf, or unless someone has an old computer and has to have .doc",,
,DB:,"OK. And as you're working on individual pieces on your computer, do you save over what you've written, or do you save new drafts for each one? Or is it a combination?",,
,AG:,It's a combination.,,
,DB:,OK. What are your naming conventions for you files?,,
,AG:,"The names change, because I was so happy when I realized that you could change the names. Because I start out-and this is more true of poems than anything else-but sometimes I'll start out calling something, you know, ""Ostrich Parade,"" or something, and then by the time I get to the fifth draft, there are no ostriches in it anymore, and I'm going to remember something else in order to be able to find it quickly. So, I will change the name.",files,
,DB:,"So, the title is like a prompt for you own memory intentions?",files,
,AG:,"See, the title is a prompt for find-ability. Quick find-ability.",files,
[00:08:46],DB:,OK. So it's not necessarily going to be the title. It's just maybe something that-,files,526
,AG:,"That's right. Sometimes it is, sometimes it isn't. And sometimes later on, down the line when I actually finally do title the thing, I will change the name again.",files,
,DB:,Again?,files,
,AG:,Yeah.,files,
,DB:,"OK. And as you're going through drafts, do you add numbers to the title?",files,
,AG:,"I do if I'm saving drafts. And what determines whether I save drafts is if I want to trash old drafts because I know I don't want to go back to them, if I think I might want to go back to them for some reason.",files,
,DB:,Do you print out your writing to revise it?,between;revision,
,AG:,"Sometimes, yeah.",between;revision,
,DB:,Sometimes.,between;revision,
,AG:,"I'll do like a bunch of drafts, just revising on the computer. And then at certain points, I'll print it out and mark it up by hand, and then input the changes.",between;revision,
,DB:,"Do you save any copies? Like, do you save those copies?",between;revision;future,
,AG:,No.,between;revision;future,
,DB:,"No, they're just kind of means to the final product?",between;revision;future,
,AG:,Yeah.,between;revision;future,
,DB:,"OK. Do you often back-up your work, your Word document files?",future,
,AG:,I have Carbonite.,future,
,DB:,"OK, you do.",future,
,AG:,Yeah.,future,
,DB:,"So, it's backed-up in the cloud, and it's just a folder on your computer?",future,
,AG:,I've gone through all different kinds of back-up things. I've had all different kinds of viruses and crashes and-you know.,future,
,DB:,Yeah. And so do you find this to be-,future,
,AG:,I got religious about backing up.,future,
,DB:,OK. So you've had experiences where you've lost-,future,
,AG:,"I've had viruses, and I've had bad computer crashes.",future,
,DB:,OK. Anything where you lost significant work?,future,
,AG:,"Not so much, but the virus stuff destroyed a computer and was expensive, and really time consuming. And really nerve wracking.",future,
,DB:,I know. Yeah.,future,
,AG:,"So, it was like, ""Ugh! Never again, if possible.""",future,
[00:10:53],DB:,"So, you have Carbonite, and they're all saved-do you connect that Carbonite folder to different devices, or you just have a folder on this device?",future,653
,AG:,"I just have it on this device, because this is the central one.",future,
,DB:,That's the central kind of location?,future,
,AG:,"There's nothing on-when I do things on other devices, I make sure they come here, if I care about them.",future,
,DB:,"Yeah, OK. When you say you're finished with the poem, is there a protocol for saving that in a certain place? Do you move it to a different place, or-?",future;between;paper,
,AG:,"It goes in to a different folder, and I usually print out a hard copy, and I have sort of one of these kind of notebooks that I put it in to.",future;between;paper,
,DB:,"Yeah. I have seen several-I think Bob Wrigley has that same one. OK. So, you do keep print copies of your final drafts. Are they organized? Are they leading to the next manuscript, essentially?",future;between;paper,
,AG:,"Yeah, that's why, because that's the form that it's going to be in and delivered in if I'm lucky enough to get something published.",future;between;paper,
,DB:,OK.,future;between;paper,
,AG:,"Right now, it's not-I'm not digital books, so I also want to be able to look at it in the form that it's going to exist in, and play with it.",future;between;paper,
,DB:,"Once they're in that folder, do you still end up going back and revising, or-?",revision,
,AG:,Sure.,revision,
,DB:,"OK. And are those usually smaller-I mean, do you ever go back and do large revisions in there, or do you usually kind of like moving lines or changing words, or-?",revision,
,AG:,"It depends. I would say moderate revisions and also if you consider getting, you know, tossing poems off the team a ""revision,"" then yeah. Yeah, I do a lot of that.",revision,
[00:12:40],DB:,"Yeah. Do you have any sort of standard ways that you-once everything is done and finished-do you have like a standard archiving process, like where you have like a folder you never touch, or a place you keep all of those from before?",future,760
,AG:,"Well, yeah, I have those from before, but also, if I'm lucky enough to publish a book, then there's a file here. That's what I send to the publisher.",future,
,DB:,"And you keep that with all your others, in that Carbonite folder with everything else?",future,
,AG:,"Well, Carbonite just backs-up everything, right?",future,
,DB:,"Right, right. Yeah.",future,
,AG:,"And then also allegedly, eventually, there's an actual book. So then it exists in at least three forms.",future;paper,
,DB:,"OK. And do you consider-which one do you consider the kind of final product? Would it be the book, or-?",future;paper,
,AG:,"Yeah, that's what I'm working towards. You know, the book with the cover and-at this point, you know, who knows what the future will bring.",future;paper,
,DB:,"Yeah, I know. Have you ever received or sort out information about methods for working with your digital files or digital archiving?",,
