timestamp,speaker,words,tags,timelink,sectiontitle,youtubetime
0:00:00,DB:,"Yeah, so we'll go through these. Some of it is a little repetitive. It's looking to be a little bit more exhaustive than, I guess, organic. If you feel like we've covered anything in some of these, just say, ""Let's go,"" it's fine.",,0,Devices and Digital Practice,
,,"Let me know if you have any questions in the middle, or anything like that. It doesn't need to go straight through. We can take breaks, or whatever&#8212;that sort of thing.",,,,
,,"So, we've gotten kind of where we're at. I'm going to ask you kind of currently compose some of these on the computer, how you currently save, and how you kind of back it up and work with the files. Then, we'll move on to the process questions.",,,,
,,"First questions&#8212; and these are meant to be kind of short answer, basically&#8212;what genres do you work in as a writer?",,,,
,JM:,Only poetry,,,,
,DB:,OK,,,,
,,What kind of devices do you own or have access to for writing?,,,,
,JM:,Just this machine,,,,
,DB:,"Just that computer, and what operating system do you use on it?",,,,
,JM:,I don't know.,,,,
,DB:,Is it a Windows computer?,,,,
,JM:,I think so.,,,,
,DB:,I'm pretty sure it is.,,,,
,JM:,I know almost nothing about it,,,,
,DB:,OK,,,,
,,"And you work on that device primarily, and that's where your files are stored as well?",,,,
,JM:,"My files are up here to the right. They're artist sketchbook, so they're unlined. And I take notes from the reading I do in those, and I also include (in green ink) my own responses to the things I'm reading, or things that occurred to me that might turn out to be germs for lines. So, I do that longhand.",paper; files,,,
,DB:,"Do they transfer&#8212;for those ideas, and those workings&#8212;on to the computer? And when they are, are they saved just on that computer?",,,,
,JM:,"In a selective way. Then, I'll go in to these notebooks and take stuff from them. And then in that form, develop some of what's there&#8212;add to it. So, that's part of the process, too.",between; paper,,,
,DB:,Great!,,,,
,,"So, I guess just in terms of your computer files, do you have them like in a certain folder? Do you save them in certain kind of organizational fashion? Or are they just, once you transfer them in there, they're there and you don't worry about them?",files,,,
,JM:,They're there and I can find them alphabetically.,files,,,
,DB:,"OK, OK",files,,,
,,"So, are these files then primarily for your publishing sake, or...? I mean, do you...",files,,,
,JM:,Only for composition.,files,,,
,DB:,Only for composition?,files,,,
,JM:,"Yeah, right",,,,
,DB:,Do you print them out and revise them from the computer?,,,,
,JM:,Sometimes.,,,,
,DB:,Sometimes.,,,,
,,What are your naming conventions for those files?,files,,,
,JM:,Usually the date.,files,,,
,DB:,The date.,files,,,
,JM:,"Oh, I'm sorry&#8212;the date and the notebook. So, the notebooks are numbered. So, it'll be from Notebook 23, or something like that.",files,,,
,DB:,"Oh, great!",,,,
,JM:,"So, that'll be that in addition to the date.",,,,
,DB:,"And if you went and revised one of the computer files, would you make a new file, or would you just like over what's already there?",files,,,
,JM:,"I'd write over what's there, and then I would get probably a different number&#8212;you know, that document number.",files,,,
,DB:,"Yeah, OK",,,,
,,"So, it'd be like my example here&#8212;""The Wasteland.1"" and then ""The Wasteland2"". That kind of thing?",,,,
,JM:,"Yeah, that kind of thing.",,,,
,DB:,OK,,,,
,,"Do you back-up those files, or do you just keep them on that computer? Do you put them on like a Dropbox, or anything like that? Or is it just on that computer?",files,,,
,JM:,"On Wednesday, I'm told by our tech, that what's there gets backed up. So, Wednesday about 2:00AM, or something like that, and on Thursday at 2:00AM, some back-up takes place. So, that's all I know about it.",files,,,
,DB:,"Like you don't have an external hard-drive, or some other box that you put them?",,,,
,JM:,There's this blue thing down there&#8212;whatever that is.,,,,
,DB:,"Oh, yeah! That's it, that it.",,,,
,JM:,That's it.,,,,
,DB:,OK,,,,
,,"When you get to like a final draft, or something, is there another protocol for that sort of file, or...?",files,,,
(5:00),JM:,"That file would have the title of the poem, and then the highest number of the draft of that poem would be the most current one&#8212;the one that's replaced the others.",files,300,8 Year relationship with hired 'Tech'/personal IT professional,
,DB:,"OK, yeah, yeah",,,,
,,And your tech--what's the relationship between you and your tech?,,,,
,JM:,He's a genius. He's an expensive genius. His name is Steve Marinoff. We're entirely dependent on him&#8212;Susan and I for having these machines continue to work&#8212;and he's never failed us.,,,,
,DB:,Good!,,,,
,,And you guys like consult with him like when you get a new machine? Or... How does that relationship work?,,,,
,JM:,"If that happens or something goes wrong with one of these, but I'd say we see him maybe 3 or 4 times a year.",,,,
,DB:,"OK, and he just checks to make sure everything is working and backing up, and that sort of thing?",,,,
,JM:,"Right. We call him if we have a problem, and then we usually see him within a couple of days. He's wonderfully reliable.",,,,
,DB:,How long has that relationship been going on?,,,,
,JM:,"I think like 8 year maybe, something like that. He had worked for another company, and now he's on his own.",,,,
,DB:,"Yeah, kind of his own consulting firm or something&#8212;great!",,,,
,DB:,"And did you seek him out, or did you know him? I mean...",,,,
,JM:,"Susan had him come out when he was working with the company that he worked for before he had his own business. Liked him a lot, and so...",,,,
,DB:,"Great, great!",,,,
,JM:,"His confidence inspiring. You know, we really count on&#8212;",,,,
,DB:,That's the biggest thing!,,,,
,JM:,We're very grateful for him,,,,
,DB:,"Yeah, yeah",,,,
,DB:,"OK, so that's the basic kind of just to get a sense of where you're at with your digital composition. Now we'll talk more about the process and the writing, and the notebooks, and the artist books, and stuff like that.",,,,
0:06:54,DB:,"And then to start, I'd like to kind of know- how long would you say you've been writing professionally? I mean, in the sense that that writing has been what's kind of supported you in some way. I know the teaching, but I think that's kind of intertwined.",,414,Beginning of Career to First 'Bad' Book,
,JM:,I published my first poem 53 years ago.,career,,,
,DB:,OK,,,,
,,"And could you give us kind of an overview of like the ark of your career&#8212;starting with maybe like your education, and then moving through?",,,,
,JM:,"I was an undergraduate at UC-Santa Barbara, and had some extraordinary teachers there. I learned how to read. Didn't learn how to write, but I learned how to read, I think, from them. Then I did my graduate work. Got a Ph.D. at Stanford immediately after I graduated from Santa Barbara.",career,,,
