timestamp,speaker,words,tags,highlight,timelink
[00:00:00],RP:,You want me to play to the camera at all or do you want me to play for you?,,,0
,DB:,"Me, it's fine. This isn't like going to go on PBS or anything. It's more archival and then I might make some clips if I ever get a website together, which hopefully will happen. You were saying that you use the word ""compose"" rather than ""write"" because you are using a sort of oral and voice-based mechanism, which is your body.",,,
,RP:,"For the rest of, it I do all of the above. I write longhand on paper, I compose on a computer, more process of revising. Like most people, I print out very frequently, scroll over the print out, stare at with the scrolling on the print out is, create another fair draft either in my mind or on the computer. I number my drafts DR1, sometimes DR0 if I know it's not going to last long. I've gone up to DR87. I think in some things I've gone up to DR104 in the file menu.",paper;between;printdig;highlight;files;revision,,
,DB:,You are using Microsoft Word when you're using these file names?,software,,
,RP:,I tend to use... I always get mixed up. I think they call it RealOffice for Mac and NeoOffice for Windows. Maybe it's the opposite.,software,,
,DB:,"Oh okay, but it is&#8212;?",software,,
,RP:,It's basically a word processor like Word.,software,,
,DB:,Okay.,software,,
,RP:,"There is also a neat one that I use for difficult things&#8212;I don't know why I don't use it on everything, I can't remember&#8212;called something called Nisus Writer. I could look at it.",software,,
,DB:,Yeah. I've heard of one called Scrivener.,software,,
,RP:,"No, this is, I think, the state of the art. I think this is the one and&#8212;yes, Nisus Writer Pro. It's terrific at all kinds of elaborate formatting and indexes. Nisus Pro.",software,,
,DB:,Nisus Pro?,software,,
,RP:,Yeah.,software,,
,DB:,When did you start using that?,software,,
,RP:,"A couple of years ago, but I'll juggle them. I'll go through phases for certain purposes, duplex printing on it, non-duplex printing printer. I know how to do it on Word, so I'll open up Word. So in a way, I use all of the above but I'm not loyal to any particular word processor.",software,,
,DB:,Software essentially?,software,,
,RP:,Yeah.,software,,
,DB:,I guess what drove the getting the Nisus?  Did somebody tell you about it and you just thought&#8212;?,early;software,,
,RP:,"I probably did some web research but there were things that I didn't like about the NeoOffice page numbering and headers and footers. It seemed clumsy to me and none of these programs are super expensive anymore, it used to be a big investment. The best one I have ever used was like Betamax versus VHS. It was excellent, but didn't have enough followers&#8212;Word Perfect. Word Perfect was terrific, it was perfect, and that doesn't always win the marketplace.",early;software;highlight,,
,DB:,"Not it does not. Word Perfect was in the '90s, I think?",early;software;highlight,,
,RP:,"I'm an early computer user, so I probably started using it in the mid-80s. I wrote a computer entertainment in the early '80s.",early;software;highlight,,
,DB:,"I know, Mindwheel, correct?",early;software;highlight,,
,RP:,"Mindwheel, yeah. I just read a new very informative article about Mindwheel. Although I'm kind of paper tiger in technical things, I don't really know a lot about computers. I've had to do with them and I've used them for a long time.",early;software;highlight,,
,DB:,Since the early 80s?,early;software;highlight,,
,RP:,"I think it was 1980 when they asked me to start Mindwheel and you can tell how prehistoric, how early that was, by the brand of the computer that they gave me to write it on. They gave me a computer that was an Atari.",early;software;highlight,,
,DB:,Do you miss the Atari?,early;software;highlight,,
,RP:,"No. I still remember that monochrome, yellow, black-on-yellow monitor that weighed more than anybody's big flat screen TV. It was immense. For a long time, anything I wrote to be read on the screen, I wrote on the computer and things I meant to be read off paper, I wrote on paper. The pen or with the nicest machine I have ever owned, an IBM Selectric.",early;software;highlight,,
,DB:,When did you own that?,early,,
,RP:,I had a Selectric in the '70s and the '80s. I often regret that I don't still own one.,early,,
[00:05:00],RP:,"It was like a BMW. It was such an excellent machine&#8212;that golf ball click-click-click. And then they had that lift-off tape, so you could erase perfectly. Because the ink was so precise that they had a lift-off ribbon and you went to that and back spaced&#8212;it lifted the ink off the page. And it was a solid machine. It just did what it was supposed to do so well. There were obvious reasons why electronic, why the computer took over, but this IBM Selectric was a beautiful machine.",early,,300
,DB:,"It's good. I have not thought of it as a beautiful machine before, but I think that's good to know.",early,,
,RP:,Have you ever used one?,early,,
,DB:,"I've never really used it, so I can't say.",early,,
,RP:,It's amazing.,early,,
,DB:,Yeah. Now I kind of want to go and find one. My typewriter experiences have not been very good.,early,,
,RP:,A crappy typewriter is not any fun.,early,,
,DB:,"And any ones that I end up looking at or using are out of tune, essentially. So, you are a Windows user primarily but with&#8212;?",,,
